Date,Country,City,Specie,count,min,max,median,variance
16/05/2020,VN,Ha Noi,pm10,24,22,35,29,115
18/05/2020,VN,Ha Noi,pm10,24,16,50,28,778.19
5/9/2020,VN,Ha Noi,pm10,24,22,37,26,276.23
17/09/2020,VN,Ha Noi,pm10,24,14,53,26,1131.14
15/12/2020,VN,Ha Noi,pm10,24,8,22,13,147.17
16/12/2020,VN,Ha Noi,pm10,24,9,19,13,100.87
2/5/2020,VN,Ha Noi,pm10,24,25,50,43,533.84
20/06/2020,VN,Ha Noi,pm10,24,10,37,28,749.28
15/07/2020,VN,Ha Noi,pm10,24,19,34,28,142.88
12/11/2020,VN,Ha Noi,pm10,24,18,60,54,2381.67
30/05/2020,VN,Ha Noi,pm10,24,21,51,28,818.24
8/7/2020,VN,Ha Noi,pm10,24,21,37,26,293.02
19/01/2020,VN,Ha Noi,pm10,24,22,71,31,1734.33
25/01/2020,VN,Ha Noi,pm10,24,7,47,11,1676.36
5/2/2020,VN,Ha Noi,pm10,24,12,48,22,1009.55
9/2/2020,VN,Ha Noi,pm10,19,11,21,16,71.64
16/11/2020,VN,Ha Noi,pm10,24,13,30,23,273.62
26/12/2020,VN,Ha Noi,pm10,24,41,54,49,126.5
13/01/2021,VN,Ha Noi,pm10,24,33,69,50,1268.1
9/3/2020,VN,Ha Noi,pm10,21,28,66,57,732.29
22/05/2020,VN,Ha Noi,pm10,24,17,75,38,2612.01
4/8/2020,VN,Ha Noi,pm10,24,13,43,17,639.11
10/10/2020,VN,Ha Noi,pm10,22,10,42,22,798.01
27/09/2020,VN,Ha Noi,pm10,24,8,20,13,144.93
20/11/2020,VN,Ha Noi,pm10,24,16,35,26,250.42
17/03/2020,VN,Ha Noi,pm10,24,21,51,28,764.62
28/03/2020,VN,Ha Noi,pm10,12,20,23,21,12.95
15/05/2020,VN,Ha Noi,pm10,24,19,35,27,269.98
18/08/2020,VN,Ha Noi,pm10,24,5,14,8,72.59
16/01/2021,VN,Ha Noi,pm10,24,55,67,61,170.85
13/01/2020,VN,Ha Noi,pm10,24,68,92,78,466.36
2/7/2020,VN,Ha Noi,pm10,24,20,42,31,451.01
19/10/2020,VN,Ha Noi,pm10,24,15,27,21,177.81
27/12/2020,VN,Ha Noi,pm10,24,39,55,51,248.62
25/07/2020,VN,Ha Noi,pm10,15,18,30,26,96.95
13/08/2020,VN,Ha Noi,pm10,24,6,19,15,173.84
2/10/2020,VN,Ha Noi,pm10,24,19,44,27,495.92
1/12/2020,VN,Ha Noi,pm10,24,31,59,38,738.84
30/03/2020,VN,Ha Noi,pm10,24,9,26,16,268.24
18/04/2020,VN,Ha Noi,pm10,24,13,20,14,48.62
21/06/2020,VN,Ha Noi,pm10,24,16,39,29,731.52
6/7/2020,VN,Ha Noi,pm10,24,13,29,21,260.58
6/12/2020,VN,Ha Noi,pm10,24,29,58,44,775.2
3/8/2020,VN,Ha Noi,pm10,24,14,38,19,328.24
23/08/2020,VN,Ha Noi,pm10,24,16,50,20,877.32
17/12/2020,VN,Ha Noi,pm10,24,14,25,17,76.23
6/1/2021,VN,Ha Noi,pm10,24,55,66,57,110.42
20/04/2020,VN,Ha Noi,pm10,23,10,15,14,26.13
3/5/2020,VN,Ha Noi,pm10,24,20,51,30,1365.8
26/06/2020,VN,Ha Noi,pm10,24,19,48,26,922.45
18/07/2020,VN,Ha Noi,pm10,24,20,34,28,203.19
3/7/2020,VN,Ha Noi,pm10,21,18,35,24,238.48
21/08/2020,VN,Ha Noi,pm10,20,10,29,21,354.11
4/11/2020,VN,Ha Noi,pm10,24,24,60,33,1275.36
31/12/2019,VN,Ha Noi,pm10,24,66,81,75,135.2
13/02/2020,VN,Ha Noi,pm10,24,23,68,37,2147.75
19/06/2020,VN,Ha Noi,pm10,24,16,37,23,310.36
29/06/2020,VN,Ha Noi,pm10,22,17,43,33,801.65
13/03/2020,VN,Ha Noi,pm10,24,24,61,36,1442.01
25/04/2020,VN,Ha Noi,pm10,24,8,15,11,42.59
13/10/2020,VN,Ha Noi,pm10,24,24,64,36,1172.75
20/05/2020,VN,Ha Noi,pm10,24,22,51,31,651.88
7/9/2020,VN,Ha Noi,pm10,24,7,23,10,278.97
28/12/2020,VN,Ha Noi,pm10,24,22,47,26,353.02
26/07/2020,VN,Ha Noi,pm10,24,16,34,18,270.43
2/1/2021,VN,Ha Noi,pm10,24,49,88,68,1063.48
2/1/2020,VN,Ha Noi,pm10,24,45,87,68,1411.58
23/03/2020,VN,Ha Noi,pm10,24,20,40,28,459.98
9/4/2020,VN,Ha Noi,pm10,19,22,52,45,699.88
30/06/2020,VN,Ha Noi,pm10,24,15,53,33,1255.92
8/12/2020,VN,Ha Noi,pm10,24,22,58,38,1398.84
1/7/2020,VN,Ha Noi,pm10,24,17,48,29,850.43
24/08/2020,VN,Ha Noi,pm10,24,6,33,21,521.45
25/10/2020,VN,Ha Noi,pm10,24,31,60,50,726.02
2/11/2020,VN,Ha Noi,pm10,24,12,63,43,3414.18
25/03/2020,VN,Ha Noi,pm10,24,12,26,17,98.68
12/4/2020,VN,Ha Noi,pm10,24,11,25,17,196.07
23/05/2020,VN,Ha Noi,pm10,24,17,43,27,513.75
26/05/2020,VN,Ha Noi,pm10,24,12,40,20,659.11
21/11/2020,VN,Ha Noi,pm10,24,15,27,17,166.3
30/01/2020,VN,Ha Noi,pm10,21,29,71,64,2355.33
2/2/2020,VN,Ha Noi,pm10,24,77,94,83,314.18
28/05/2020,VN,Ha Noi,pm10,24,41,54,48,118.84
8/1/2021,VN,Ha Noi,pm10,24,7,26,12,412.75
19/09/2020,VN,Ha Noi,pm10,24,5,19,12,196.52
21/10/2020,VN,Ha Noi,pm10,24,9,48,17,1398.1
3/12/2020,VN,Ha Noi,pm10,24,24,64,31,1819.35
19/12/2020,VN,Ha Noi,pm10,24,18,35,21,264.33
30/12/2019,VN,Ha Noi,pm10,24,65,89,70,431.72
28/01/2020,VN,Ha Noi,pm10,24,28,46,37,392.39
8/4/2020,VN,Ha Noi,pm10,24,35,59,50,628.68
7/7/2020,VN,Ha Noi,pm10,24,18,38,27,504.76
15/03/2020,VN,Ha Noi,pm10,24,43,63,51,318.68
16/06/2020,VN,Ha Noi,pm10,24,14,36,27,469.57
16/10/2020,VN,Ha Noi,pm10,24,5,23,11,363.7
5/3/2020,VN,Ha Noi,pm10,24,19,50,30,946.67
5/12/2020,VN,Ha Noi,pm10,24,20,53,22,1286.01
25/12/2020,VN,Ha Noi,pm10,24,40,65,52,691.72
6/1/2020,VN,Ha Noi,pm10,24,40,58,47,276.94
24/05/2020,VN,Ha Noi,pm10,24,22,50,39,980.8
20/07/2020,VN,Ha Noi,pm10,24,15,31,25,271.52
23/06/2020,VN,Ha Noi,pm10,24,22,48,32,700.71
26/08/2020,VN,Ha Noi,pm10,24,15,50,24,974.71
1/11/2020,VN,Ha Noi,pm10,24,38,59,46,272.17
16/02/2020,VN,Ha Noi,pm10,24,13,52,23,1226.09
22/04/2020,VN,Ha Noi,pm10,24,8,19,10,44.76
24/04/2020,VN,Ha Noi,pm10,24,4,11,6,47.81
1/6/2020,VN,Ha Noi,pm10,24,16,59,28,1127.66
6/11/2020,VN,Ha Noi,pm10,24,55,69,59,117.37
27/06/2020,VN,Ha Noi,pm10,24,16,40,28,599.98
4/7/2020,VN,Ha Noi,pm10,24,7,32,20,587.54
14/07/2020,VN,Ha Noi,pm10,24,13,44,30,1062.54
22/08/2020,VN,Ha Noi,pm10,24,11,37,19,310.85
6/8/2020,VN,Ha Noi,pm10,24,7,23,14,117.1
15/08/2020,VN,Ha Noi,pm10,24,12,24,16,66.67
21/09/2020,VN,Ha Noi,pm10,24,13,50,19,2208.41
18/10/2020,VN,Ha Noi,pm10,24,9,27,15,372.16
3/3/2020,VN,Ha Noi,pm10,8,13,32,16,725
10/3/2020,VN,Ha Noi,pm10,24,26,61,49,1082.45
31/03/2020,VN,Ha Noi,pm10,18,11,51,18,1677.65
10/7/2020,VN,Ha Noi,pm10,24,23,53,36,835.63
20/10/2020,VN,Ha Noi,pm10,24,16,26,20,93.84
22/11/2020,VN,Ha Noi,pm10,24,15,34,24,308.24
13/12/2020,VN,Ha Noi,pm10,24,15,46,35,838.68
