Index,DO mgO2/l,Na(mg/l),SO4 (mg/l),classification
286,3.87,4.091,6.496,1
287,2.95,2.909,6.029,0
288,3.49,5.263,5.97,1
289,4.21,264.463,31.292,1
290,1.38,260.439,64.802,0
291,4.76,974.648,352.581,1
292,3.95,267.692,87.887,1
293,4.26,423.529,99.695,1
294,4.11,4000.0,1030.0,2
295,3.64,106.666,19.713,1
296,4.12,4.14,5.419,1
297,2.82,46.905,6.778,0
298,3.96,92.9101613832853,8.514,1
299,4.06,3.188,4.85,1
300,4.67,3.097,6.316,1
301,3.28,5.978,1.063,1
302,4.66,3.31,5.455,1
303,3.57,1.818,4.399,1
304,2.83,1.636,5.862,0
305,3.63,3.816,4.149,1
306,3.88,6.887,5.402,1
307,4.3,2.791,4.625,1
308,5.05,3.297,5.946,1
309,3.34,3.658,6.092,1
310,4.05,3.736,5.071,1
311,4.96,2.385,6.886,1
312,4.06,2.666,4.669,1
313,3.82,2.719,4.359,1
314,2.42,3.166,3.834,0
315,4.9,92.9101613832853,3.779,1
316,4.21,3.275,3.699,1
317,4.05,3.032,4.224,1
318,3.91,4.065,1.975,1
319,4.87,3.931,4.735,1
320,3.95,3.0,5.146,1
321,3.07,2.364,5.731,0
322,3.91,4.158,4.029,1
323,3.83,4.215,3.938,1
324,4.28,3.12,3.477,1
325,5.08,3.077,3.869,1
326,3.51,3.447,4.071,1
327,3.75,4.302,4.105,1
328,4.61,2.973,10.118,1
329,3.47,3.111,4.111,1
330,3.48,2.912,4.135,1
331,2.37,4.643,5.06,0
332,3.4,92.9101613832853,5.779,1
333,4.83,3.855,5.933,1
334,4.52,4.113,5.692,1
335,3.47,4.543,1.923,1
336,2.67,4.345,6.524,0
337,3.84,3.145,5.155,1
338,3.0,2.436,5.857,0
339,3.84,4.421,4.282,1
340,3.86,4.986,4.901,1
341,3.82,3.45,4.457,1
342,5.63,3.341,4.876,1
343,3.78,5.151,8.791,1
344,3.78,4.528,4.769,1
345,4.31,3.472,7.223,1
346,3.96,3.466,4.853,1
347,4.26,3.07,4.445,1
348,2.42,4.881,5.792,0
349,4.96,92.9101613832853,6.208,1
350,3.79,4.956,6.571,1
351,4.32,4.064,6.009,1
352,3.82,8.37,3.108,1
353,3.95,5.048,8.412,1
354,3.08,4.273,6.336,0
355,2.85,2.727,7.064,0
356,3.55,4.921,5.318,1
357,4.56,5.51,6.197,1
358,3.48,3.736,5.429,1
359,7.4,3.912,5.412,1
360,4.54,5.169,8.895,1
361,5.26,4.687,6.075,1
362,5.47,3.623,7.672,1
363,4.28,3.555,5.803,1
364,3.73,3.333,4.825,1
365,2.86,4.959,5.292,0
366,3.74,92.9101613832853,5.576,1
367,3.09,26.783,33.075,0
368,4.57,28.401,48.424,1
369,4.02,8.152,15.221,1
370,3.57,10.505,17.384,1
371,2.0,16.818,19.023,0
372,3.4,3.455,14.219,1
373,4.63,5.0,9.112,1
374,3.65,7.576,20.485,1
375,3.22,9.011,29.272,1
376,1.55,16.483,31.798,0
377,2.88,20.0,25.406,0
378,3.01,17.176,41.727,0
379,4.26,15.219,34.634,1
380,1.48,13.091,18.168,0
381,3.41,18.734,24.526,1
382,1.92,9.809,13.436,0
383,2.25,92.9101613832853,19.176,0
384,4.66,5.043,5.554,1
385,4.76,4.032,6.084,1
386,3.41,5.739,3.615,1
387,3.68,4.655,7.734,1
388,3.74,3.145,5.876,1
389,3.07,2.945,14.219,0
390,3.78,5.263,5.662,1
391,3.96,5.565,6.047,1
392,4.23,4.0,5.72,1
393,5.67,3.78,5.608,1
394,4.74,5.206,8.273,1
395,4.21,5.909,9.843,1
396,4.75,4.015,8.744,1
397,3.89,3.555,5.69,1
398,3.96,3.421,5.064,1
399,3.03,4.809,5.457,0
400,3.9,92.9101613832853,5.796,1
401,4.26,5.165,5.409,1
402,4.77,4.161,6.331,1
403,3.46,5.065,2.334,1
404,4.83,4.759,7.54,1
405,3.15,3.455,6.063,1
406,3.05,3.0,6.431,0
407,2.64,5.421,6.006,0
408,3.92,5.51,5.981,1
409,4.32,3.956,5.886,1
410,4.83,3.736,5.571,1
411,4.04,5.538,10.885,1
412,4.43,5.66,7.994,1
413,4.06,3.894,7.95,1
