Index,count,min,max,median,variance,classification
262,48,18.0,172,76.0,21461.3,0
263,36,2.6,6,5.0,17.47,1
264,24,154.0,216,178.0,3536.07,1
265,24,22.0,72,56.0,2421.74,1
266,48,1.3,57,11.8,1813.26,1
267,48,67.0,181,144.0,9603.97,2
268,40,1.6,5,3.0,11.23,1
269,34,13.0,78,26.0,4000.46,1
270,48,0.1,31,0.3,484.79,1
271,45,7.0,76,25.0,2551.62,1
272,47,13.0,91,31.0,8055.49,2
273,30,2.6,6,6.0,15.36,1
274,48,0.5,18,5.0,267.68,1
275,48,17.0,87,25.0,7499.93,2
276,45,2.1,7,5.0,36.3,1
277,46,1.3,16,4.5,138.55,1
278,48,1.3,23,8.2,519.06,1
279,48,0.1,22,0.2,392.19,1
280,24,49.0,79,68.0,748.24,1
281,21,3.0,3,3.0,0.0,1
282,24,169.0,238,193.0,5828.04,1
283,48,39.0,159,86.0,18735.4,2
284,24,103.0,195,155.0,3741.72,1
285,48,17.0,124,62.0,9836.6,2
286,48,62.0,177,127.0,12401.6,2
287,47,0.1,17,3.0,217.69,1
288,24,10.0,41,19.0,640.27,1
289,46,0.5,6,1.9,13.31,1
290,39,1.1,4,2.0,6.21,1
291,48,0.1,12,0.2,79.5,1
292,48,3.2,23,9.6,337.69,1
293,36,2.1,5,4.0,10.25,1
294,38,45.0,165,87.0,14916.5,2
295,39,3.1,8,6.0,28.83,1
296,48,4.5,28,11.4,481.67,1
297,24,8.0,22,13.0,147.17,1
298,48,8.3,43,18.8,1002.39,1
299,48,0.9,11,3.0,67.51,1
300,43,1.7,9,4.0,36.94,1
301,48,0.1,28,0.3,549.42,1
302,45,9.0,157,42.0,15207.5,2
303,37,0.6,3,1.0,3.27,1
304,43,1.3,24,3.0,203.98,1
305,48,1.7,23,7.4,323.22,1
306,34,0.5,15,4.6,161.92,1
307,24,33.0,69,50.0,1268.1,1
308,32,2.1,7,4.0,17.2,1
309,42,0.1,7,3.0,56.86,1
310,48,28.0,175,54.0,13515.9,2
311,48,2.6,12,5.6,65.03,1
312,24,57.0,160,87.0,8700.71,2
313,47,2.1,21,7.0,261.36,1
314,48,0.1,18,0.2,248.53,1
315,24,40.0,74,57.0,792.39,1
316,24,22.0,40,33.0,240.85,1
317,38,0.6,3,1.0,4.31,1
318,40,2.6,7,5.0,20.48,1
319,24,18.0,43,32.0,309.78,1
320,48,1.3,8,3.0,33.32,1
321,45,4.1,12,8.0,68.56,1
322,45,0.1,16,2.0,284.94,1
323,45,17.0,122,74.0,15037.3,2
324,24,27.0,71,52.0,2479.13,1
325,36,1.0,22,6.0,289.11,1
326,30,4.2,33,12.8,742.25,1
327,24,58.0,104,79.0,1891.29,1
328,17,2.1,4,4.0,5.57,1
329,46,0.5,31,7.0,578.18,1
330,48,28.0,164,85.0,18776.5,2
331,48,39.0,172,72.0,21436.4,0
332,23,1.0,53,8.0,1182.49,1
333,48,0.1,24,0.3,431.08,1
334,38,0.9,6,2.1,19.21,1
335,40,3.1,8,6.0,31.48,1
336,26,0.1,13,0.2,202.04,1
337,24,125.0,185,160.0,3046.5,1
338,39,2.1,8,4.1,19.42,1
339,24,27.0,53,40.0,716.45,1
340,40,1.0,49,6.4,1164.04,1
341,38,0.5,19,4.0,210.82,1
342,38,1.3,7,3.0,33.24,1
343,24,19.0,50,30.0,946.67,1
344,48,6.9,55,21.1,1375.12,1
345,24,14.0,28,19.0,123.7,1
346,48,1.4,40,7.0,625.74,1
347,48,2.5,19,7.4,238.72,1
348,24,12.0,29,24.0,133.62,1
